name,rating,url,price,lat,long,category
Shaolin Kung Fu Noodle,4.0,https://www.yelp.com/biz/shaolin-kung-fu-noodle-balmoral?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$,-36.8882860175587,174.747163087241,Chinese
Kiss Kiss,4.5,https://www.yelp.com/biz/kiss-kiss-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.88861,174.74751,Cafes
Spicy House,4.5,https://www.yelp.com/biz/spicy-house-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$,-36.8878103,174.7471663,Chinese
New Flavour Restaurant,3.5,https://www.yelp.com/biz/new-flavour-restaurant-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$,-36.88745,174.74712,Chinese
Banzai,4.0,https://www.yelp.com/biz/banzai-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.8884713,174.7466501,Japanese
Barilla Dumpling,3.5,https://www.yelp.com/biz/barilla-dumpling-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$,-36.8882884,174.7469988,Chinese
Tusk,3.5,https://www.yelp.com/biz/tusk-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.8876724,174.747406,Bars
Zap2,4.0,https://www.yelp.com/biz/zap2-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.8900763743848,174.746342816428,Thai
Jungle Flavour Thai Restaurant & Bar,3.5,https://www.yelp.com/biz/jungle-flavour-thai-restaurant-and-bar-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.8863528686783,174.747510552406,Thai
Flavour House,4.0,https://www.yelp.com/biz/flavour-house-auckland?adjust_creative=wwF0xmAmk6ZmxYuaGEHDag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=wwF0xmAmk6ZmxYuaGEHDag,$$,-36.8878784,174.7473602,Chinese
